Incoming message from Client is : 55.0	0.0	0.0
Outgoing message to Client is : -46.77038054011924	0.5927892677955927	2.0000000000000004	

Incoming message from Client is : -46.77038054011924	0.5927892677955927	2.0000000000000004	
Outgoing message to Client is : -50.168535578437925	0.44233036128798275	2.1000000000000005	

Incoming message from Client is : -50.168535578437925	0.44233036128798275	2.1000000000000005	
Outgoing message to Client is : -52.704187331044196	0.286464278614989	2.2000000000000006	

Incoming message from Client is : -52.704187331044196	0.286464278614989	2.2000000000000006	
Outgoing message to Client is : -54.346339246671526	0.12725841127954796	2.3000000000000007	

Incoming message from Client is : -54.346339246671526	0.12725841127954796	2.3000000000000007	
Outgoing message to Client is : -55.075846062923716	-0.033389367561213745	2.400000000000001	

Incoming message from Client is : -55.075846062923716	-0.033389367561213745	2.400000000000001	
Outgoing message to Client is : -54.884442045056886	-0.19366133359489462	2.500000000000001	

Incoming message from Client is : -54.884442045056886	-0.19366133359489462	2.500000000000001	
Outgoing message to Client is : -53.77428153400335	-0.35171844847256933	2.600000000000001	

Incoming message from Client is : -53.77428153400335	-0.35171844847256933	2.600000000000001	
Outgoing message to Client is : -51.75806112874658	-0.5056020613574456	2.700000000000001	

Incoming message from Client is : -51.75806112874658	-0.5056020613574456	2.700000000000001	
Outgoing message to Client is : -48.859705363003265	-0.6531540755308155	2.800000000000001	

Incoming message from Client is : -48.859705363003265	-0.6531540755308155	2.800000000000001	
Outgoing message to Client is : -45.11551002556547	-0.7919709066522537	2.9000000000000012	

Incoming message from Client is : -45.11551002556547	-0.7919709066522537	2.9000000000000012	
Outgoing message to Client is : -40.57554941418313	-0.9194056794735457	3.0000000000000013	

Incoming message from Client is : -40.57554941418313	-0.9194056794735457	3.0000000000000013	
Outgoing message to Client is : -35.30507099681885	-1.0326299590904928	3.1000000000000014	

Incoming message from Client is : -35.30507099681885	-1.0326299590904928	3.1000000000000014	
Outgoing message to Client is : -29.38553619948481	-1.1287595778975115	3.2000000000000015	

Incoming message from Client is : -29.38553619948481	-1.1287595778975115	3.2000000000000015	
Outgoing message to Client is : -22.91493989306596	-1.205038343527883	3.3000000000000016	

Incoming message from Client is : -22.91493989306596	-1.205038343527883	3.3000000000000016	
Outgoing message to Client is : -16.007076777301023	-1.2590598515527265	3.4000000000000017	

Incoming message from Client is : -16.007076777301023	-1.2590598515527265	3.4000000000000017	
Outgoing message to Client is : -8.789536226998766	-1.2889946372846448	3.5000000000000018	

Incoming message from Client is : -8.789536226998766	-1.2889946372846448	3.5000000000000018	
Outgoing message to Client is : -1.4003949941568545	-1.293782267141096	3.600000000000002	

Incoming message from Client is : -1.4003949941568545	-1.293782267141096	3.600000000000002	
Outgoing message to Client is : 6.01619125060102	-1.2732499807964837	3.700000000000002	

Incoming message from Client is : 6.01619125060102	-1.2732499807964837	3.700000000000002	
Outgoing message to Client is : 13.31507649083564	-1.2281325136967833	3.800000000000002	

Incoming message from Client is : 13.31507649083564	-1.2281325136967833	3.800000000000002	
Outgoing message to Client is : 20.355326569352233	-1.15998874682137	3.900000000000002	

Incoming message from Client is : 20.355326569352233	-1.15998874682137	3.900000000000002	
Outgoing message to Client is : 27.004943589347345	-1.0710332700132315	4.000000000000002	

Incoming message from Client is : 27.004943589347345	-1.0710332700132315	4.000000000000002	
Outgoing message to Client is : 33.144624755028296	-0.9639175690501868	4.100000000000001	

Incoming message from Client is : 33.144624755028296	-0.9639175690501868	4.100000000000001	
Outgoing message to Client is : 38.67026687060262	-0.841501771198546	4.200000000000001	

Incoming message from Client is : 38.67026687060262	-0.841501771198546	4.200000000000001	
Outgoing message to Client is : 43.49416237428856	-0.7066534897376506	4.300000000000001	

Incoming message from Client is : 43.49416237428856	-0.7066534897376506	4.300000000000001	
Outgoing message to Client is : 47.54504225176554	-0.5620987496034995	4.4	

Incoming message from Client is : 47.54504225176554	-0.5620987496034995	4.4	
Outgoing message to Client is : 50.76726438325056	-0.41033613069750174	4.5	

Incoming message from Client is : 50.76726438325056	-0.41033613069750174	4.5	
Outgoing message to Client is : 53.11950971845918	-0.2536131784153119	4.6	

Incoming message from Client is : 53.11950971845918	-0.2536131784153119	4.6	
